county,state,"Rates of Persons, aged 55+, Living with HIV, 2020"
Wayne,Tennessee,142
Weakley,Tennessee,-1
White,Tennessee,92
Williamson,Tennessee,91
Wilson,Tennessee,-1
Anderson,Texas,517
Andrews,Texas,-1
Angelina,Texas,211
Aransas,Texas,-1
Archer,Texas,-1
Armstrong,Texas,-1
Atascosa,Texas,123
Austin,Texas,221
Bailey,Texas,-1
Bandera,Texas,105
Bastrop,Texas,256
Baylor,Texas,-1
Bee,Texas,-1
Bell,Texas,326
Bexar,Texas,440
Blanco,Texas,-1
Borden,Texas,-1
Bosque,Texas,106
Bowie,Texas,268
Brazoria,Texas,313
Brazos,Texas,246
Brewster,Texas,-1
Briscoe,Texas,0
Brooks,Texas,-1
Brown,Texas,-1
Burleson,Texas,-1
Burnet,Texas,-1
Caldwell,Texas,265
Calhoun,Texas,88
Callahan,Texas,-1
Cameron,Texas,314
Camp,Texas,-1
Carson,Texas,-1
Cass,Texas,-1
Castro,Texas,-1
Chambers,Texas,127
Cherokee,Texas,-1
Childress,Texas,-1
Clay,Texas,117
Cochran,Texas,-1
Coke,Texas,-1
Coleman,Texas,-1
Collin,Texas,220
Collingsworth,Texas,0
Colorado,Texas,214
Comal,Texas,166
Comanche,Texas,152
Concho,Texas,-1
Cooke,Texas,87
Coryell,Texas,352
Cottle,Texas,-1
Crane,Texas,-1
Crockett,Texas,-1
Crosby,Texas,-1
Culberson,Texas,-1
Dallam,Texas,-1
Dallas,Texas,921
Dawson,Texas,-1
Deaf Smith,Texas,165
Delta,Texas,311
Denton,Texas,202
DeWitt,Texas,-1
Dickens,Texas,-1
Dimmit,Texas,-1
Donley,Texas,-1
Duval,Texas,155
Eastland,Texas,-1
Ector,Texas,195
Edwards,Texas,0
El Paso,Texas,409
Ellis,Texas,236
Erath,Texas,62
Falls,Texas,-1
Fannin,Texas,239
Fayette,Texas,129
Fisher,Texas,-1
Floyd,Texas,0
Foard,Texas,0
Fort Bend,Texas,262
Franklin,Texas,-1
Freestone,Texas,238
Frio,Texas,-1
Gaines,Texas,-1
Galveston,Texas,432
Garza,Texas,-1
Gillespie,Texas,82
Glasscock,Texas,-1
Goliad,Texas,-1
Gonzales,Texas,172
Gray,Texas,130
Grayson,Texas,174
Gregg,Texas,412
Grimes,Texas,-1
Guadalupe,Texas,131
Hale,Texas,-1
Hall,Texas,-1
Hamilton,Texas,175
Hansford,Texas,-1
Hardeman,Texas,-1
Hardin,Texas,123
Harris,Texas,756
Harrison,Texas,135
Hartley,Texas,-1
Haskell,Texas,233
Hays,Texas,224
Hemphill,Texas,-1
Henderson,Texas,153
Hidalgo,Texas,222
Hill,Texas,-1
Hockley,Texas,81
Hood,Texas,-1
Hopkins,Texas,-1
Houston,Texas,-1
Howard,Texas,-1
Hudspeth,Texas,-1
Hunt,Texas,183
Hutchinson,Texas,94
Irion,Texas,-1
Jack,Texas,-1
Jackson,Texas,-1
Jasper,Texas,-1
Jeff Davis,Texas,-1
Jefferson,Texas,487
Jim Hogg,Texas,-1
Jim Wells,Texas,81
Johnson,Texas,192
Jones,Texas,306
Karnes,Texas,-1
Kaufman,Texas,314
Kendall,Texas,-1
Kenedy,Texas,0
Kent,Texas,0
Kerr,Texas,-1
Kimble,Texas,-1
King,Texas,-1
Kinney,Texas,-1
Kleberg,Texas,192
Knox,Texas,-1
La Salle,Texas,-1
Lamar,Texas,160
Lamb,Texas,264
Lampasas,Texas,76
Lavaca,Texas,143
Lee,Texas,-1
Leon,Texas,-1
Liberty,Texas,-1
Limestone,Texas,113
Lipscomb,Texas,0
Live Oak,Texas,161
Llano,Texas,141
Loving,Texas,-1
Lubbock,Texas,207
Lynn,Texas,-1
Madison,Texas,240
Marion,Texas,205
Martin,Texas,-1
Mason,Texas,-1
Matagorda,Texas,-1
Maverick,Texas,-1
McCulloch,Texas,269
McLennan,Texas,272
McMullen,Texas,0
Medina,Texas,-1
Menard,Texas,-1
Midland,Texas,134
Milam,Texas,307
Mills,Texas,0
Mitchell,Texas,-1
Montague,Texas,-1
Montgomery,Texas,168
Moore,Texas,155
Morris,Texas,133
Motley,Texas,-1
Nacogdoches,Texas,-1
Navarro,Texas,-1
Newton,Texas,-1
Nolan,Texas,176
Nueces,Texas,245
Ochiltree,Texas,-1
Oldham,Texas,0
Orange,Texas,176
Palo Pinto,Texas,88
Panola,Texas,-1
Parker,Texas,-1
Parmer,Texas,-1
Pecos,Texas,132
Polk,Texas,-1
Potter,Texas,294
Presidio,Texas,-1
Rains,Texas,-1
Randall,Texas,141
Reagan,Texas,-1
Real,Texas,-1
Red River,Texas,142
Reeves,Texas,429
Refugio,Texas,-1
Roberts,Texas,0
Robertson,Texas,187
Rockwall,Texas,138
Runnels,Texas,140
Rusk,Texas,202
Sabine,Texas,158
San Augustine,Texas,-1
San Jacinto,Texas,184
San Patricio,Texas,138
San Saba,Texas,-1
Schleicher,Texas,-1
Scurry,Texas,-1
Shackelford,Texas,-1
Shelby,Texas,-1
Sherman,Texas,-1
Smith,Texas,223
Somervell,Texas,0
Starr,Texas,-1
Stephens,Texas,-1
Sterling,Texas,0
Stonewall,Texas,-1
Sutton,Texas,-1
Swisher,Texas,230
Tarrant,Texas,362
Taylor,Texas,220
Terrell,Texas,-1
Terry,Texas,217
Throckmorton,Texas,0
Titus,Texas,-1
Tom Green,Texas,128
Travis,Texas,571
Trinity,Texas,234
Tyler,Texas,-1
Upshur,Texas,-1
Upton,Texas,-1
Uvalde,Texas,150
Val Verde,Texas,-1
Van Zandt,Texas,-1
Victoria,Texas,196
Walker,Texas,1432
Waller,Texas,232
Ward,Texas,-1
Washington,Texas,-1
Webb,Texas,267
Wharton,Texas,-1
Wheeler,Texas,-1
Wichita,Texas,168
Wilbarger,Texas,-1
Willacy,Texas,-1
Williamson,Texas,176
Wilson,Texas,-1
Winkler,Texas,-1
Wise,Texas,-1
Wood,Texas,-1
Yoakum,Texas,-1
Young,Texas,-1
Zapata,Texas,-1
Zavala,Texas,-1
Beaver,Utah,-1
Box Elder,Utah,74
Cache,Utah,-1
Carbon,Utah,95
Daggett,Utah,-1
Davis,Utah,84
Duchesne,Utah,130
Emery,Utah,-1
Garfield,Utah,-1
Grand,Utah,-1
Iron,Utah,106
Juab,Utah,-1
Kane,Utah,-1
Millard,Utah,-1
Morgan,Utah,-1
Piute,Utah,0
Rich,Utah,-1
Salt Lake,Utah,298
San Juan,Utah,-1
Sanpete,Utah,76
Sevier,Utah,80
Summit,Utah,120
Tooele,Utah,144
Uintah,Utah,-1
Utah,Utah,69
Wasatch,Utah,59
Washington,Utah,-1
Wayne,Utah,-1
Weber,Utah,139
Addison,Vermont,-2
Bennington,Vermont,-2
Caledonia,Vermont,-2
Chittenden,Vermont,42
Essex,Vermont,-2
Franklin,Vermont,-2
Grand Isle,Vermont,-2
Lamoille,Vermont,-2
Orange,Vermont,-2
Orleans,Vermont,-2
Rutland,Vermont,43
Washington,Vermont,29
Windham,Vermont,-2
Windsor,Vermont,-2
Accomack,Virginia,424
Albemarle,Virginia,-1
Alexandria,Virginia,1443
Alleghany,Virginia,213
Amelia,Virginia,204
Amherst,Virginia,-1
Appomattox,Virginia,88
Arlington,Virginia,1137
Augusta,Virginia,-1
Bath,Virginia,-1
Bedford,Virginia,-1
Bedford,Virginia,undefined
Bland,Virginia,-1
Botetourt,Virginia,149
Bristol,Virginia,-1
Brunswick,Virginia,-1
Buchanan,Virginia,-1
Buckingham,Virginia,452
Buena Vista,Virginia,-1
Campbell,Virginia,-1
Caroline,Virginia,-1
Carroll,Virginia,48
Charles City,Virginia,350
Charlotte,Virginia,260
Charlottesville,Virginia,572
Chesapeake,Virginia,342
Chesterfield,Virginia,212
Clarke,Virginia,208
Colonial Heights,Virginia,373
Covington,Virginia,309
Craig,Virginia,-1
Culpeper,Virginia,-1
Cumberland,Virginia,-1
Danville,Virginia,396
Dickenson,Virginia,-1
Dinwiddie,Virginia,-1
Emporia,Virginia,565
Essex,Virginia,292
Fairfax,Virginia,366
Fairfax,Virginia,-1
Falls Church,Virginia,-1
Fauquier,Virginia,-1
Floyd,Virginia,126
Fluvanna,Virginia,216
Franklin,Virginia,-1
Franklin,Virginia,482
Frederick,Virginia,-1
Fredericksburg,Virginia,739
Galax,Virginia,-1
Giles,Virginia,82
Gloucester,Virginia,-1
Goochland,Virginia,309
Grayson,Virginia,108
Greene,Virginia,151
Greensville,Virginia,-1
Halifax,Virginia,236
Hampton,Virginia,587
Hanover,Virginia,126
Harrisonburg,Virginia,-1
Henrico,Virginia,361
Henry,Virginia,-1
Highland,Virginia,-1
Hopewell,Virginia,-1
Isle of Wight,Virginia,-1
James City,Virginia,-1
King and Queen,Virginia,274
King George,Virginia,277
King William,Virginia,91
Lancaster,Virginia,-1
Lee,Virginia,69
Lexington,Virginia,-1
Loudoun,Virginia,177
Louisa,Virginia,-1
Lunenburg,Virginia,281
Lynchburg,Virginia,495
Madison,Virginia,113
Manassas,Virginia,403
Manassas Park,Virginia,166
Martinsville,Virginia,302
Mathews,Virginia,186
Mecklenburg,Virginia,-1
Middlesex,Virginia,260
Montgomery,Virginia,-1
Nelson,Virginia,239
New Kent,Virginia,174
Newport News,Virginia,676
Norfolk,Virginia,1384
Northampton,Virginia,487
Northumberland,Virginia,119
Norton,Virginia,-1
Nottoway,Virginia,-1
Orange,Virginia,215
Page,Virginia,56
Patrick,Virginia,90
Petersburg,Virginia,1612
Pittsylvania,Virginia,-1
Poquoson,Virginia,-1
Portsmouth,Virginia,855
Powhatan,Virginia,-1
Prince Edward,Virginia,-1
Prince George,Virginia,473
Prince William,Virginia,373
Pulaski,Virginia,-1
Radford,Virginia,-1
Rappahannock,Virginia,211
Richmond,Virginia,533
Richmond,Virginia,1265
Roanoke,Virginia,-1
Roanoke,Virginia,594
Rockbridge,Virginia,72
Rockingham,Virginia,115
Russell,Virginia,58
Salem,Virginia,165
Scott,Virginia,-1
Shenandoah,Virginia,-1
Smyth,Virginia,-1
Southampton,Virginia,-1
Spotsylvania,Virginia,207
Stafford,Virginia,238
Staunton,Virginia,380
Suffolk,Virginia,390
Surry,Virginia,283
Sussex,Virginia,660
Tazewell,Virginia,-1
Virginia Beach,Virginia,336
Warren,Virginia,282
Washington,Virginia,-1
Waynesboro,Virginia,-1
Westmoreland,Virginia,-1
Williamsburg,Virginia,491
Winchester,Virginia,-1
Wise,Virginia,-1
Wythe,Virginia,112
York,Virginia,-1
Adams,Washington,-1
Asotin,Washington,55
Benton,Washington,-1
Chelan,Washington,-1
Clallam,Washington,140
Clark,Washington,263
Columbia,Washington,-1
Cowlitz,Washington,-1
Douglas,Washington,45
Ferry,Washington,-1
Franklin,Washington,-1
Garfield,Washington,-1
Grant,Washington,-1
Grays Harbor,Washington,-1
Island,Washington,-1
Jefferson,Washington,-1
King,Washington,469
Kitsap,Washington,203
Kittitas,Washington,110
Klickitat,Washington,163
Lewis,Washington,-1
Lincoln,Washington,-1
Mason,Washington,-1
Okanogan,Washington,-1
Pacific,Washington,218
Pend Oreille,Washington,-1
Pierce,Washington,231
San Juan,Washington,-1
Skagit,Washington,-1
Skamania,Washington,-1
Snohomish,Washington,189
Spokane,Washington,176
Stevens,Washington,37
Thurston,Washington,162
Wahkiakum,Washington,-1
Walla Walla,Washington,-1
Whatcom,Washington,-1
Whitman,Washington,-1
Yakima,Washington,147
District of Columbia,"Washington, D.C.",-4
Barbour,West Virginia,-1
Berkeley,West Virginia,-1
Boone,West Virginia,-1
Braxton,West Virginia,-1
Brooke,West Virginia,92
Cabell,West Virginia,214
Calhoun,West Virginia,-1
Clay,West Virginia,-1
Doddridge,West Virginia,-1
Fayette,West Virginia,97
Gilmer,West Virginia,296
Grant,West Virginia,-1
Greenbrier,West Virginia,-1
Hampshire,West Virginia,140
Hancock,West Virginia,89
Hardy,West Virginia,-1
Harrison,West Virginia,-1
Jackson,West Virginia,-1
Jefferson,West Virginia,158
Kanawha,West Virginia,212
Lewis,West Virginia,-1
Lincoln,West Virginia,-1
Logan,West Virginia,53
Marion,West Virginia,-1
Marshall,West Virginia,-1
Mason,West Virginia,-1
McDowell,West Virginia,-1
Mercer,West Virginia,-1
Mineral,West Virginia,61
Mingo,West Virginia,74
Monongalia,West Virginia,160
Monroe,West Virginia,-1
Morgan,West Virginia,-1
Nicholas,West Virginia,-1
Ohio,West Virginia,151
Pendleton,West Virginia,-1
Pleasants,West Virginia,-1
Pocahontas,West Virginia,-1
Preston,West Virginia,-1
Putnam,West Virginia,-1
Raleigh,West Virginia,-1
Randolph,West Virginia,66
Ritchie,West Virginia,-1
Roane,West Virginia,-1
Summers,West Virginia,113
Taylor,West Virginia,-1
Tucker,West Virginia,-1
Tyler,West Virginia,-1
Upshur,West Virginia,-1
Wayne,West Virginia,56
Webster,West Virginia,-1
Wetzel,West Virginia,-1
Wirt,West Virginia,-1
Wood,West Virginia,-1
Wyoming,West Virginia,-1
Adams,Wisconsin,127
Ashland,Wisconsin,-1
Barron,Wisconsin,-1
Bayfield,Wisconsin,82
Brown,Wisconsin,111
Buffalo,Wisconsin,-1
Burnett,Wisconsin,-1
Calumet,Wisconsin,-1
Chippewa,Wisconsin,55
Clark,Wisconsin,75
Columbia,Wisconsin,-1
Crawford,Wisconsin,-1
Dane,Wisconsin,213
Dodge,Wisconsin,108
Door,Wisconsin,59
Douglas,Wisconsin,-1
Dunn,Wisconsin,38
Eau Claire,Wisconsin,-1
Florence,Wisconsin,0
Fond du Lac,Wisconsin,63
Forest,Wisconsin,-1
Grant,Wisconsin,57
Green,Wisconsin,-1
Green Lake,Wisconsin,94
Iowa,Wisconsin,82
Iron,Wisconsin,-1
Jackson,Wisconsin,-1
Jefferson,Wisconsin,-1
Juneau,Wisconsin,70
Kenosha,Wisconsin,147
Kewaunee,Wisconsin,66
La Crosse,Wisconsin,108
Lafayette,Wisconsin,-1
Langlade,Wisconsin,-1
Lincoln,Wisconsin,53
Manitowoc,Wisconsin,-1
Marathon,Wisconsin,-1
Marinette,Wisconsin,58
Marquette,Wisconsin,130
Menominee,Wisconsin,-1
Milwaukee,Wisconsin,458
Monroe,Wisconsin,47
Oconto,Wisconsin,-1
Oneida,Wisconsin,42
Outagamie,Wisconsin,-1
Ozaukee,Wisconsin,52
Pepin,Wisconsin,0
Pierce,Wisconsin,47
Polk,Wisconsin,-1
Portage,Wisconsin,59
Price,Wisconsin,-1
Racine,Wisconsin,132
Richland,Wisconsin,-1
Rock,Wisconsin,-1
Rusk,Wisconsin,-1
Sauk,Wisconsin,-1
Sawyer,Wisconsin,-1
Shawano,Wisconsin,39
Sheboygan,Wisconsin,-1
St. Croix,Wisconsin,41
Taylor,Wisconsin,-1
Trempealeau,Wisconsin,61
Vernon,Wisconsin,54
Vilas,Wisconsin,-1
Walworth,Wisconsin,60
Washburn,Wisconsin,69
Washington,Wisconsin,-1
Waukesha,Wisconsin,56
Waupaca,Wisconsin,37
Waushara,Wisconsin,57
Winnebago,Wisconsin,-1
Wood,Wisconsin,67
Albany,Wyoming,-1
Big Horn,Wyoming,-1
Campbell,Wyoming,69
Carbon,Wyoming,0
Converse,Wyoming,-1
Crook,Wyoming,-1
Fremont,Wyoming,107
Goshen,Wyoming,122
Hot Springs,Wyoming,0
Johnson,Wyoming,-1
Laramie,Wyoming,-1
Lincoln,Wyoming,-1
Natrona,Wyoming,-1
Niobrara,Wyoming,-1
Park,Wyoming,-1
Platte,Wyoming,-1
Sheridan,Wyoming,54
Sublette,Wyoming,0
Sweetwater,Wyoming,44
Teton,Wyoming,0
Uinta,Wyoming,-1
Washakie,Wyoming,-1
Weston,Wyoming,-1
