county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020"
Warren,Kentucky,359
Washington,Kentucky,-2
Wayne,Kentucky,-2
Webster,Kentucky,-2
Whitley,Kentucky,-2
Wolfe,Kentucky,-2
Woodford,Kentucky,-2
Acadia,Louisiana,916
Allen,Louisiana,1507
Ascension,Louisiana,357
Assumption,Louisiana,1185
Avoyelles,Louisiana,1179
Beauregard,Louisiana,284
Bienville,Louisiana,1854
Bossier,Louisiana,798
Caddo,Louisiana,753
Calcasieu,Louisiana,630
Caldwell,Louisiana,504
Cameron,Louisiana,-1
Catahoula,Louisiana,1099
Claiborne,Louisiana,892
Concordia,Louisiana,799
De Soto,Louisiana,151
East Baton Rouge,Louisiana,2022
East Carroll,Louisiana,-1
East Feliciana,Louisiana,467
Evangeline,Louisiana,554
Franklin,Louisiana,370
Grant,Louisiana,410
Iberia,Louisiana,557
Iberville,Louisiana,1546
Jackson,Louisiana,590
Jefferson,Louisiana,913
Jefferson Davis,Louisiana,312
La Salle,Louisiana,1080
Lafayette,Louisiana,595
Lafourche,Louisiana,314
Lincoln,Louisiana,367
Livingston,Louisiana,582
Madison,Louisiana,1010
Morehouse,Louisiana,822
Natchitoches,Louisiana,758
Orleans,Louisiana,2464
Ouachita,Louisiana,892
Plaquemines,Louisiana,549
Pointe Coupee,Louisiana,492
Rapides,Louisiana,659
Red River,Louisiana,-1
Richland,Louisiana,-1
Sabine,Louisiana,-1
St. Bernard,Louisiana,1004
St. Charles,Louisiana,741
St. Helena,Louisiana,1351
St. James,Louisiana,761
St. John the Baptist,Louisiana,194
St. Landry,Louisiana,750
St. Martin,Louisiana,-1
St. Mary,Louisiana,262
St. Tammany,Louisiana,433
Tangipahoa,Louisiana,453
Tensas,Louisiana,-1
Terrebonne,Louisiana,308
Union,Louisiana,-1
Vermilion,Louisiana,257
Vernon,Louisiana,266
Washington,Louisiana,838
Webster,Louisiana,155
West Baton Rouge,Louisiana,816
West Carroll,Louisiana,-1
West Feliciana,Louisiana,1608
Winn,Louisiana,617
Androscoggin,Maine,-2
Aroostook,Maine,-2
Cumberland,Maine,-2
Franklin,Maine,-2
Hancock,Maine,-2
Kennebec,Maine,-2
Knox,Maine,-2
Lincoln,Maine,-2
Oxford,Maine,-2
Penobscot,Maine,-2
Piscataquis,Maine,-2
Sagadahoc,Maine,-2
Somerset,Maine,-2
Waldo,Maine,-2
Washington,Maine,-2
York,Maine,-2
Allegany,Maryland,452
Anne Arundel,Maryland,458
Baltimore,Maryland,802
Calvert,Maryland,207
Caroline,Maryland,-2
Carroll,Maryland,148
Cecil,Maryland,223
Charles,Maryland,670
Dorchester,Maryland,-2
Frederick,Maryland,316
Garrett,Maryland,-2
Harford,Maryland,393
Howard,Maryland,355
Kent,Maryland,-2
Montgomery,Maryland,710
Prince George's,Maryland,1660
Queen Anne's,Maryland,-2
Somerset,Maryland,-2
St. Mary's,Maryland,266
Talbot,Maryland,-2
Washington,Maryland,706
Wicomico,Maryland,409
Worcester,Maryland,-2
Barnstable,Massachusetts,-2
Berkshire,Massachusetts,-2
Bristol,Massachusetts,-2
Dukes,Massachusetts,-2
Essex,Massachusetts,487
Franklin,Massachusetts,-2
Hampden,Massachusetts,-2
Hampshire,Massachusetts,-2
Middlesex,Massachusetts,520
Nantucket,Massachusetts,-2
Norfolk,Massachusetts,347
Plymouth,Massachusetts,-2
Suffolk,Massachusetts,1644
Worcester,Massachusetts,475
Alcona,Michigan,-1
Alger,Michigan,-1
Allegan,Michigan,183
Alpena,Michigan,-1
Antrim,Michigan,191
Arenac,Michigan,0
Baraga,Michigan,-1
Barry,Michigan,64
Bay,Michigan,169
Benzie,Michigan,0
Berrien,Michigan,423
Branch,Michigan,115
Calhoun,Michigan,285
Cass,Michigan,135
Charlevoix,Michigan,-1
Cheboygan,Michigan,192
Chippewa,Michigan,-1
Clare,Michigan,272
Clinton,Michigan,243
Crawford,Michigan,-1
Delta,Michigan,216
Dickinson,Michigan,-1
Eaton,Michigan,175
Emmet,Michigan,-1
Genesee,Michigan,259
Gladwin,Michigan,168
Gogebic,Michigan,-1
Grand Traverse,Michigan,335
Gratiot,Michigan,162
Hillsdale,Michigan,-1
Houghton,Michigan,-1
Huron,Michigan,0
Ingham,Michigan,351
Ionia,Michigan,213
Iosco,Michigan,190
Iron,Michigan,-1
Isabella,Michigan,211
Jackson,Michigan,309
Kalamazoo,Michigan,314
Kalkaska,Michigan,370
Kent,Michigan,367
Keweenaw,Michigan,-1
Lake,Michigan,503
Lapeer,Michigan,200
Leelanau,Michigan,-1
Lenawee,Michigan,121
Livingston,Michigan,89
Luce,Michigan,-1
Mackinac,Michigan,-1
Macomb,Michigan,244
Manistee,Michigan,176
Marquette,Michigan,131
Mason,Michigan,250
Mecosta,Michigan,180
Menominee,Michigan,-1
Midland,Michigan,97
Missaukee,Michigan,0
Monroe,Michigan,192
Montcalm,Michigan,211
Montmorency,Michigan,-1
Muskegon,Michigan,244
Newaygo,Michigan,155
Oakland,Michigan,299
Oceana,Michigan,-1
Ogemaw,Michigan,-1
Ontonagon,Michigan,-1
Osceola,Michigan,182
Oscoda,Michigan,0
Otsego,Michigan,166
Ottawa,Michigan,115
Presque Isle,Michigan,0
Roscommon,Michigan,-1
Saginaw,Michigan,280
Sanilac,Michigan,102
Schoolcraft,Michigan,-1
Shiawassee,Michigan,115
St. Clair,Michigan,135
St. Joseph,Michigan,257
Tuscola,Michigan,-1
Van Buren,Michigan,152
Washtenaw,Michigan,322
Wayne,Michigan,704
Wexford,Michigan,-1
Aitkin,Minnesota,-1
Anoka,Minnesota,288
Becker,Minnesota,-1
Beltrami,Minnesota,179
Benton,Minnesota,166
Big Stone,Minnesota,0
Blue Earth,Minnesota,97
Brown,Minnesota,-1
Carlton,Minnesota,-1
Carver,Minnesota,155
Cass,Minnesota,-1
Chippewa,Minnesota,-1
Chisago,Minnesota,-1
Clay,Minnesota,154
Clearwater,Minnesota,0
Cook,Minnesota,-1
Cottonwood,Minnesota,-1
Crow Wing,Minnesota,71
Dakota,Minnesota,227
Dodge,Minnesota,-1
Douglas,Minnesota,-1
Faribault,Minnesota,-1
Fillmore,Minnesota,-1
Freeborn,Minnesota,-1
Goodhue,Minnesota,93
Grant,Minnesota,0
Hennepin,Minnesota,778
Houston,Minnesota,0
Hubbard,Minnesota,-1
Isanti,Minnesota,-1
Itasca,Minnesota,-1
Jackson,Minnesota,-1
Kanabec,Minnesota,-1
Kandiyohi,Minnesota,132
Kittson,Minnesota,-1
Koochiching,Minnesota,0
Lac qui Parle,Minnesota,-1
Lake,Minnesota,0
Lake of the Woods,Minnesota,-1
Le Sueur,Minnesota,-1
Lincoln,Minnesota,-1
Lyon,Minnesota,298
Mahnomen,Minnesota,-1
Marshall,Minnesota,-1
Martin,Minnesota,-1
McLeod,Minnesota,135
Meeker,Minnesota,-1
Mille Lacs,Minnesota,-1
Morrison,Minnesota,-1
Mower,Minnesota,401
Murray,Minnesota,-1
Nicollet,Minnesota,190
Nobles,Minnesota,383
Norman,Minnesota,-1
Olmsted,Minnesota,348
Otter Tail,Minnesota,-1
Pennington,Minnesota,-1
Pine,Minnesota,253
Pipestone,Minnesota,0
Polk,Minnesota,-1
Pope,Minnesota,-1
Ramsey,Minnesota,599
Red Lake,Minnesota,-1
Redwood,Minnesota,-1
Renville,Minnesota,-1
Rice,Minnesota,168
Rock,Minnesota,-1
Roseau,Minnesota,0
Scott,Minnesota,185
Sherburne,Minnesota,172
Sibley,Minnesota,-1
St. Louis,Minnesota,151
Stearns,Minnesota,228
Steele,Minnesota,-1
Stevens,Minnesota,-1
Swift,Minnesota,-1
Todd,Minnesota,-1
Traverse,Minnesota,-1
Wabasha,Minnesota,272
Wadena,Minnesota,-1
Waseca,Minnesota,0
Washington,Minnesota,158
Watonwan,Minnesota,-1
Wilkin,Minnesota,-1
Winona,Minnesota,-1
Wright,Minnesota,75
Yellow Medicine,Minnesota,-1
Adams,Mississippi,889
Alcorn,Mississippi,358
Amite,Mississippi,663
Attala,Mississippi,709
Benton,Mississippi,-1
Bolivar,Mississippi,677
Calhoun,Mississippi,419
Carroll,Mississippi,1006
Chickasaw,Mississippi,526
Choctaw,Mississippi,0
Claiborne,Mississippi,885
Clarke,Mississippi,432
Clay,Mississippi,442
Coahoma,Mississippi,1714
Copiah,Mississippi,1075
Covington,Mississippi,535
DeSoto,Mississippi,348
Forrest,Mississippi,932
Franklin,Mississippi,-1
George,Mississippi,201
Greene,Mississippi,1245
Grenada,Mississippi,709
Hancock,Mississippi,343
Harrison,Mississippi,648
Hinds,Mississippi,2239
Holmes,Mississippi,1026
Humphreys,Mississippi,703
Issaquena,Mississippi,-1
Itawamba,Mississippi,289
Jackson,Mississippi,406
Jasper,Mississippi,677
Jefferson,Mississippi,1022
Jefferson Davis,Mississippi,763
Jones,Mississippi,475
Kemper,Mississippi,436
Lafayette,Mississippi,389
Lamar,Mississippi,189
Lauderdale,Mississippi,812
Lawrence,Mississippi,812
Leake,Mississippi,366
Lee,Mississippi,373
Leflore,Mississippi,907
Lincoln,Mississippi,253
Lowndes,Mississippi,577
Madison,Mississippi,417
Marion,Mississippi,552
Marshall,Mississippi,496
Monroe,Mississippi,291
Montgomery,Mississippi,630
Neshoba,Mississippi,305
Newton,Mississippi,377
Noxubee,Mississippi,518
Oktibbeha,Mississippi,362
Panola,Mississippi,620
Pearl River,Mississippi,534
Perry,Mississippi,416
Pike,Mississippi,559
Pontotoc,Mississippi,178
Prentiss,Mississippi,-1
Quitman,Mississippi,575
Rankin,Mississippi,471
Scott,Mississippi,526
Sharkey,Mississippi,-1
Simpson,Mississippi,350
Smith,Mississippi,-1
Stone,Mississippi,491
Sunflower,Mississippi,1343
Tallahatchie,Mississippi,660
Tate,Mississippi,258
Tippah,Mississippi,-1
Tishomingo,Mississippi,-1
Tunica,Mississippi,1321
Union,Mississippi,189
Walthall,Mississippi,350
Warren,Mississippi,835
Washington,Mississippi,780
Wayne,Mississippi,300
Webster,Mississippi,-1
Wilkinson,Mississippi,652
Winston,Mississippi,378
Yalobusha,Mississippi,824
Yazoo,Mississippi,648
Adair,Missouri,520
Andrew,Missouri,322
Atchison,Missouri,-1
Audrain,Missouri,271
Barry,Missouri,191
Barton,Missouri,-1
Bates,Missouri,267
Benton,Missouri,450
Bollinger,Missouri,-1
Boone,Missouri,258
Buchanan,Missouri,279
Butler,Missouri,399
Caldwell,Missouri,-1
Callaway,Missouri,456
Camden,Missouri,288
Cape Girardeau,Missouri,211
Carroll,Missouri,-1
Carter,Missouri,-1
Cass,Missouri,150
Cedar,Missouri,0
Chariton,Missouri,-1
Christian,Missouri,178
Clark,Missouri,-1
Clay,Missouri,263
Clinton,Missouri,-1
Cole,Missouri,330
Cooper,Missouri,567
Crawford,Missouri,250
Dade,Missouri,-1
Dallas,Missouri,253
Daviess,Missouri,551
DeKalb,Missouri,-1
Dent,Missouri,282
Douglas,Missouri,0
Dunklin,Missouri,178
Franklin,Missouri,124
Gasconade,Missouri,-1
Gentry,Missouri,-1
Greene,Missouri,534
Grundy,Missouri,-1
Harrison,Missouri,-1
Henry,Missouri,-1
Hickory,Missouri,-1
Holt,Missouri,0
Howard,Missouri,0
Howell,Missouri,107
Iron,Missouri,-1
Jackson,Missouri,868
Jasper,Missouri,294
Jefferson,Missouri,155
Johnson,Missouri,240
Knox,Missouri,-1
Laclede,Missouri,116
Lafayette,Missouri,121
Lawrence,Missouri,155
Lewis,Missouri,-1
Lincoln,Missouri,165
Linn,Missouri,0
Livingston,Missouri,-1
Macon,Missouri,-1
Madison,Missouri,-1
Maries,Missouri,-1
Marion,Missouri,152
McDonald,Missouri,268
Mercer,Missouri,-1
Miller,Missouri,-1
Mississippi,Missouri,739
Moniteau,Missouri,-1
Monroe,Missouri,529
Montgomery,Missouri,-1
Morgan,Missouri,-1
New Madrid,Missouri,-1
Newton,Missouri,-1
Nodaway,Missouri,-1
Oregon,Missouri,-1
Osage,Missouri,-1
Ozark,Missouri,-1
Pemiscot,Missouri,284
Perry,Missouri,-1
Pettis,Missouri,149
Phelps,Missouri,132
Pike,Missouri,-1
Platte,Missouri,231
Polk,Missouri,166
Pulaski,Missouri,253
Putnam,Missouri,-1
Ralls,Missouri,-1
Randolph,Missouri,260
Ray,Missouri,-1
Reynolds,Missouri,-1
Ripley,Missouri,-1
Saline,Missouri,-1
Schuyler,Missouri,-1
Scotland,Missouri,-1
Scott,Missouri,240
Shannon,Missouri,0
Shelby,Missouri,-1
St. Charles,Missouri,164
St. Clair,Missouri,-1
St. Francois,Missouri,237
St. Louis,Missouri,563
St. Louis,Missouri,1941
Ste. Genevieve,Missouri,386
Stoddard,Missouri,-1
Stone,Missouri,220
Sullivan,Missouri,-1
Taney,Missouri,204
Texas,Missouri,-1
Vernon,Missouri,297
Warren,Missouri,-1
Washington,Missouri,303
Wayne,Missouri,-1
Webster,Missouri,207
Worth,Missouri,0
Wright,Missouri,-1
Beaverhead,Montana,-1
Big Horn,Montana,-1
Blaine,Montana,-1
Broadwater,Montana,0
Carbon,Montana,-1
Carter,Montana,-1
Cascade,Montana,110
Chouteau,Montana,0
Custer,Montana,-1
Daniels,Montana,-1
Dawson,Montana,0
Deer Lodge,Montana,0
Fallon,Montana,0
Fergus,Montana,-1
Flathead,Montana,89
Gallatin,Montana,174
Garfield,Montana,0
Glacier,Montana,-1
Golden Valley,Montana,-1
Granite,Montana,-1
Hill,Montana,-1
Jefferson,Montana,0
Judith Basin,Montana,-1
Lake,Montana,251
Lewis and Clark,Montana,125
Liberty,Montana,0
Lincoln,Montana,-1
Madison,Montana,0
McCone,Montana,0
Meagher,Montana,-1
Mineral,Montana,-1
Missoula,Montana,251
Musselshell,Montana,-1
Park,Montana,-1
Petroleum,Montana,-1
Phillips,Montana,-1
Pondera,Montana,0
Powder River,Montana,0
Powell,Montana,0
Prairie,Montana,0
Ravalli,Montana,-1
Richland,Montana,-1
Roosevelt,Montana,-1
Rosebud,Montana,-1
Sanders,Montana,-1
Sheridan,Montana,-1
Silver Bow,Montana,133
Stillwater,Montana,-1
Sweet Grass,Montana,0
Teton,Montana,-1
Toole,Montana,-1
Treasure,Montana,-1
Valley,Montana,-1
Wheatland,Montana,0
Wibaux,Montana,0
Yellowstone,Montana,187
Adams,Nebraska,-1
Antelope,Nebraska,0
Arthur,Nebraska,-1
Banner,Nebraska,-1
Blaine,Nebraska,-1
Boone,Nebraska,0
Box Butte,Nebraska,-1
Boyd,Nebraska,-1
Brown,Nebraska,-1
Buffalo,Nebraska,-1
Burt,Nebraska,-1
Butler,Nebraska,0
Cass,Nebraska,0
Cedar,Nebraska,-1
Chase,Nebraska,0
Cherry,Nebraska,0
Cheyenne,Nebraska,-1
Clay,Nebraska,-1
Colfax,Nebraska,-1
Cuming,Nebraska,-1
Custer,Nebraska,-1
Dakota,Nebraska,232
Dawes,Nebraska,-1
Dawson,Nebraska,0
Deuel,Nebraska,0
Dixon,Nebraska,0
Dodge,Nebraska,-1
Douglas,Nebraska,172
Dundy,Nebraska,-1
Fillmore,Nebraska,0
Franklin,Nebraska,0
Frontier,Nebraska,-1
Furnas,Nebraska,0
Gage,Nebraska,-1
Garden,Nebraska,0
Garfield,Nebraska,0
Gosper,Nebraska,-1
Grant,Nebraska,-1
Greeley,Nebraska,0
Hall,Nebraska,115
Hamilton,Nebraska,0
Harlan,Nebraska,0
Hayes,Nebraska,-1
Hitchcock,Nebraska,-1
Holt,Nebraska,-1
Hooker,Nebraska,-1
Howard,Nebraska,0
Jefferson,Nebraska,-1
Johnson,Nebraska,0
Kearney,Nebraska,0
Keith,Nebraska,-1
Keya Paha,Nebraska,-1
Kimball,Nebraska,0
Knox,Nebraska,-1
Lancaster,Nebraska,87
Lincoln,Nebraska,-1
Logan,Nebraska,-1
Loup,Nebraska,-1
Madison,Nebraska,-1
McPherson,Nebraska,-1
Merrick,Nebraska,-1
Morrill,Nebraska,-1
Nance,Nebraska,0
Nemaha,Nebraska,-1
Nuckolls,Nebraska,0
Otoe,Nebraska,-1
Pawnee,Nebraska,0
Perkins,Nebraska,0
Phelps,Nebraska,-1
Pierce,Nebraska,0
Platte,Nebraska,-1
Polk,Nebraska,-1
Red Willow,Nebraska,0
Richardson,Nebraska,-1
Rock,Nebraska,-1
Saline,Nebraska,-1
Sarpy,Nebraska,31
Saunders,Nebraska,0
Scotts Bluff,Nebraska,-1
Seward,Nebraska,0
Sheridan,Nebraska,-1
Sherman,Nebraska,0
Sioux,Nebraska,0
Stanton,Nebraska,-1
Thayer,Nebraska,-1
Thomas,Nebraska,-1
Thurston,Nebraska,-1
Valley,Nebraska,0
Washington,Nebraska,0
Wayne,Nebraska,0
Webster,Nebraska,0
Wheeler,Nebraska,-1
York,Nebraska,-1
Carson City,Nevada,573
Churchill,Nevada,340
Clark,Nevada,746
Douglas,Nevada,211
Elko,Nevada,113
Esmeralda,Nevada,-1
Eureka,Nevada,-1
Humboldt,Nevada,-1
Lander,Nevada,-1
Lincoln,Nevada,0
Lyon,Nevada,229
Mineral,Nevada,-1
Nye,Nevada,339
Pershing,Nevada,-1
Storey,Nevada,-1
Washoe,Nevada,435
White Pine,Nevada,747
Belknap,New Hampshire,-2
Carroll,New Hampshire,-2
Cheshire,New Hampshire,-2
Coos,New Hampshire,-2
Grafton,New Hampshire,-2
Hillsborough,New Hampshire,-2
Merrimack,New Hampshire,-2
Rockingham,New Hampshire,-2
Strafford,New Hampshire,-2
Sullivan,New Hampshire,-2
Atlantic,New Jersey,825
Bergen,New Jersey,316
Burlington,New Jersey,348
Camden,New Jersey,601
Cape May,New Jersey,341
Cumberland,New Jersey,750
Essex,New Jersey,1940
Gloucester,New Jersey,219
Hudson,New Jersey,1542
Hunterdon,New Jersey,199
Mercer,New Jersey,697
Middlesex,New Jersey,482
Monmouth,New Jersey,442
Morris,New Jersey,269
Ocean,New Jersey,233
Passaic,New Jersey,859
Salem,New Jersey,533
Somerset,New Jersey,320
Sussex,New Jersey,228
Union,New Jersey,835
Warren,New Jersey,176
Bernalillo,New Mexico,474
Catron,New Mexico,-1
Chaves,New Mexico,274
Cibola,New Mexico,1321
Colfax,New Mexico,392
Curry,New Mexico,226
De Baca,New Mexico,0
Do??a Ana,New Mexico,550
Eddy,New Mexico,176
Grant,New Mexico,227
Guadalupe,New Mexico,-1
Harding,New Mexico,-1
Hidalgo,New Mexico,-1
Lea,New Mexico,144
Lincoln,New Mexico,253
Los Alamos,New Mexico,-1
Luna,New Mexico,340
McKinley,New Mexico,461
Mora,New Mexico,-1
Otero,New Mexico,271
Quay,New Mexico,-1
Rio Arriba,New Mexico,362
Roosevelt,New Mexico,-1
San Juan,New Mexico,213
San Miguel,New Mexico,324
Sandoval,New Mexico,241
Santa Fe,New Mexico,485
Sierra,New Mexico,751
Socorro,New Mexico,455
Taos,New Mexico,134
Torrance,New Mexico,454
Union,New Mexico,-1
Valencia,New Mexico,298
Albany,New York,826
Allegany,New York,101
Bronx,New York,3840
Broome,New York,542
Cattaraugus,New York,255
Cayuga,New York,411
Chautauqua,New York,369
Chemung,New York,482
Chenango,New York,157
Clinton,New York,454
Columbia,New York,558
Cortland,New York,251
Delaware,New York,171
Dutchess,New York,423
Erie,New York,521
Essex,New York,366
Franklin,New York,417
Fulton,New York,203
Genesee,New York,361
Greene,New York,708
Hamilton,New York,-1
Herkimer,New York,217
Jefferson,New York,375
Kings,New York,1999
Lewis,New York,-1
Livingston,New York,301
Madison,New York,176
Monroe,New York,596
Montgomery,New York,342
Nassau,New York,342
New York,New York,3110
Niagara,New York,229
Oneida,New York,446
Onondaga,New York,492
Ontario,New York,185
Orange,New York,430
Orleans,New York,732
Oswego,New York,190
Otsego,New York,355
Putnam,New York,216
Queens,New York,1342
Rensselaer,New York,407
Richmond,New York,792
Rockland,New York,392
Saratoga,New York,168
Schenectady,New York,648
Schoharie,New York,263
Schuyler,New York,-1
Seneca,New York,424
St. Lawrence,New York,318
Steuben,New York,186
Suffolk,New York,349
Sullivan,New York,734
Tioga,New York,206
Tompkins,New York,375
Ulster,New York,506
Warren,New York,287
Washington,New York,307
Wayne,New York,284
Westchester,New York,597
Wyoming,New York,413
Yates,New York,-1
Alamance,North Carolina,608
Alexander,North Carolina,271
Alleghany,North Carolina,-1
Anson,North Carolina,561
Ashe,North Carolina,145
Avery,North Carolina,330
Beaufort,North Carolina,274
Bertie,North Carolina,882
Bladen,North Carolina,630
Brunswick,North Carolina,240
Buncombe,North Carolina,532
Burke,North Carolina,198
Cabarrus,North Carolina,343
Caldwell,North Carolina,234
Camden,North Carolina,-1
Carteret,North Carolina,241
Caswell,North Carolina,368
Catawba,North Carolina,286
Chatham,North Carolina,254
Cherokee,North Carolina,316
Chowan,North Carolina,-1
Clay,North Carolina,384
Cleveland,North Carolina,347
Columbus,North Carolina,533
Craven,North Carolina,670
Cumberland,North Carolina,942
Currituck,North Carolina,-1
Dare,North Carolina,184
Davidson,North Carolina,474
Davie,North Carolina,168
Duplin,North Carolina,489
Durham,North Carolina,1011
Edgecombe,North Carolina,1339
Forsyth,North Carolina,787
Franklin,North Carolina,310
Gaston,North Carolina,571
Gates,North Carolina,323
Graham,North Carolina,-1
Granville,North Carolina,699
Greene,North Carolina,801
Guilford,North Carolina,862
Halifax,North Carolina,500
Harnett,North Carolina,575
Haywood,North Carolina,290
Henderson,North Carolina,364
Hertford,North Carolina,839
Hoke,North Carolina,638
Hyde,North Carolina,-1
Iredell,North Carolina,198
Jackson,North Carolina,171
Johnston,North Carolina,352
Jones,North Carolina,528
Lee,North Carolina,458
Lenoir,North Carolina,748
Lincoln,North Carolina,198
Macon,North Carolina,177
Madison,North Carolina,218
Martin,North Carolina,481
McDowell,North Carolina,111
Mecklenburg,North Carolina,1002
Mitchell,North Carolina,-1
Montgomery,North Carolina,620
Moore,North Carolina,315
Nash,North Carolina,662
New Hanover,North Carolina,503
Northampton,North Carolina,412
Onslow,North Carolina,419
Orange,North Carolina,337
Pamlico,North Carolina,353
Pasquotank,North Carolina,552
Pender,North Carolina,373
Perquimans,North Carolina,458
Person,North Carolina,358
Pitt,North Carolina,713
Polk,North Carolina,-1
Randolph,North Carolina,379
Richmond,North Carolina,704
Robeson,North Carolina,651
Rockingham,North Carolina,398
Rowan,North Carolina,492
Rutherford,North Carolina,232
Sampson,North Carolina,542
Scotland,North Carolina,946
Stanly,North Carolina,271
Stokes,North Carolina,231
Surry,North Carolina,275
Swain,North Carolina,-1
Transylvania,North Carolina,186
Tyrrell,North Carolina,-1
Union,North Carolina,195
Vance,North Carolina,605
Wake,North Carolina,585
Warren,North Carolina,751
Washington,North Carolina,531
Watauga,North Carolina,87
Wayne,North Carolina,501
Wilkes,North Carolina,146
Wilson,North Carolina,729
Yadkin,North Carolina,133
Yancey,North Carolina,-1
Adams,North Dakota,-2
Barnes,North Dakota,-2
Benson,North Dakota,-2
Billings,North Dakota,-2
Bottineau,North Dakota,-2
Bowman,North Dakota,-2
Burke,North Dakota,-2
Burleigh,North Dakota,-2
Cass,North Dakota,-2
Cavalier,North Dakota,-2
Dickey,North Dakota,-2
Divide,North Dakota,-2
Dunn,North Dakota,-2
Eddy,North Dakota,-2
Emmons,North Dakota,-2
Foster,North Dakota,-2
Golden Valley,North Dakota,-2
Grand Forks,North Dakota,-2
Grant,North Dakota,-2
Griggs,North Dakota,-2
Hettinger,North Dakota,-2
Kidder,North Dakota,-2
LaMoure,North Dakota,-2
Logan,North Dakota,-2
McHenry,North Dakota,-2
McIntosh,North Dakota,-2
McKenzie,North Dakota,-2
McLean,North Dakota,-2
Mercer,North Dakota,-2
Morton,North Dakota,-2
Mountrail,North Dakota,-2
Nelson,North Dakota,-2
Oliver,North Dakota,-2
Pembina,North Dakota,-2
Pierce,North Dakota,-2
Ramsey,North Dakota,-2
Ransom,North Dakota,-2
Renville,North Dakota,-2
Richland,North Dakota,-2
Rolette,North Dakota,-2
Sargent,North Dakota,-2
Sheridan,North Dakota,-2
Sioux,North Dakota,-2
Slope,North Dakota,-2
Stark,North Dakota,-2
Steele,North Dakota,-2
Stutsman,North Dakota,-2
Towner,North Dakota,-2
Traill,North Dakota,-2
Walsh,North Dakota,-2
Ward,North Dakota,-2
Wells,North Dakota,-2
Williams,North Dakota,-2
Adams,Ohio,193
Allen,Ohio,369
Ashland,Ohio,80
Ashtabula,Ohio,244
Athens,Ohio,263
Auglaize,Ohio,-1
Belmont,Ohio,388
Brown,Ohio,125
Butler,Ohio,245
Carroll,Ohio,-1
Champaign,Ohio,196
Clark,Ohio,253
Clermont,Ohio,147
Clinton,Ohio,234
Columbiana,Ohio,226
Coshocton,Ohio,161
Crawford,Ohio,134
Cuyahoga,Ohio,764
Darke,Ohio,163
Defiance,Ohio,203
Delaware,Ohio,106
Erie,Ohio,331
Fairfield,Ohio,287
Fayette,Ohio,163
Franklin,Ohio,850
Fulton,Ohio,-1
Gallia,Ohio,224
Geauga,Ohio,65
Greene,Ohio,193
Guernsey,Ohio,-1
Hamilton,Ohio,733
Hancock,Ohio,197
Hardin,Ohio,139
Harrison,Ohio,-1
Henry,Ohio,152
Highland,Ohio,109
Hocking,Ohio,162
Holmes,Ohio,-1
Huron,Ohio,153
Jackson,Ohio,144
Jefferson,Ohio,216
Knox,Ohio,113
Lake,Ohio,172
Lawrence,Ohio,266
Licking,Ohio,240
Logan,Ohio,190
Lorain,Ohio,312
Lucas,Ohio,580
Madison,Ohio,410
Mahoning,Ohio,443
Marion,Ohio,326
Medina,Ohio,101
Meigs,Ohio,-1
Mercer,Ohio,-1
Miami,Ohio,139
Monroe,Ohio,-1
Montgomery,Ohio,549
Morgan,Ohio,278
Morrow,Ohio,-1
Muskingum,Ohio,186
Noble,Ohio,-1
Ottawa,Ohio,-1
Paulding,Ohio,-1
Perry,Ohio,253
Pickaway,Ohio,372
Pike,Ohio,222
Portage,Ohio,98
Preble,Ohio,96
Putnam,Ohio,-1
Richland,Ohio,266
Ross,Ohio,260
Sandusky,Ohio,152
Scioto,Ohio,213
Seneca,Ohio,79
Shelby,Ohio,165
Stark,Ohio,269
Summit,Ohio,346
Trumbull,Ohio,253
Tuscarawas,Ohio,74
Union,Ohio,190
Van Wert,Ohio,-1
Vinton,Ohio,-1
Warren,Ohio,165
Washington,Ohio,137
Wayne,Ohio,138
Williams,Ohio,233
Wood,Ohio,158
Wyandot,Ohio,0
Adair,Oklahoma,-1
Alfalfa,Oklahoma,-1
Atoka,Oklahoma,-1
Beaver,Oklahoma,-1
Beckham,Oklahoma,-1
Blaine,Oklahoma,564
Bryan,Oklahoma,374
Caddo,Oklahoma,307
Canadian,Oklahoma,221
Carter,Oklahoma,236
Cherokee,Oklahoma,197
Choctaw,Oklahoma,305
Cimarron,Oklahoma,0
Cleveland,Oklahoma,232
Coal,Oklahoma,-1
Comanche,Oklahoma,452
Cotton,Oklahoma,-1
Craig,Oklahoma,335
Creek,Oklahoma,229
Custer,Oklahoma,-1
Delaware,Oklahoma,256
Dewey,Oklahoma,0
Ellis,Oklahoma,-1
Garfield,Oklahoma,112
Garvin,Oklahoma,-1
Grady,Oklahoma,102
Grant,Oklahoma,-1
Greer,Oklahoma,993
Harmon,Oklahoma,-1
Harper,Oklahoma,-1
Haskell,Oklahoma,-1
Hughes,Oklahoma,389
Jackson,Oklahoma,196
Jefferson,Oklahoma,-1
Johnston,Oklahoma,-1
Kay,Oklahoma,200
Kingfisher,Oklahoma,-1
Kiowa,Oklahoma,-1
Latimer,Oklahoma,-1
Le Flore,Oklahoma,221
Lincoln,Oklahoma,214
Logan,Oklahoma,169
Love,Oklahoma,-1
Major,Oklahoma,-1
Marshall,Oklahoma,-1
Mayes,Oklahoma,140
McClain,Oklahoma,117
McCurtain,Oklahoma,-1
McIntosh,Oklahoma,499
